account_id,signup_date,plan,company_size,industry,acquisition_channel,region,activated,activation_date,paid,paid_date,churned,churn_date,feature_adoption_score,mrr
36,2025-03-09,Growth,51-200,Services,Outbound,India,1,2025-03-21,1,2025-03-21,1,2025-10-29,0.296,118.8
37,2025-01-23,Pro,11-50,SaaS,Referral,India,1,2025-01-27,1,2025-02-12,1,2025-06-11,0.278,249.0
38,2025-08-17,Growth,1-10,FinTech,Referral,India,1,2025-08-24,1,2025-09-03,0,,0.841,99.0
39,2025-09-16,Starter,11-50,Services,Referral,India,1,2025-09-27,1,2025-10-08,0,,0.588,39.0
40,2025-05-10,Starter,51-200,E-commerce,Partner,Europe,1,2025-05-19,0,,0,,0.535,0.0
41,2025-07-24,Starter,11-50,SaaS,Paid Search,India,0,,0,,0,,0.266,0.0
42,2025-08-02,Starter,1-10,Services,Organic,Europe,1,2025-08-14,0,,0,,0.453,0.0
43,2025-04-11,Starter,1-10,FinTech,Referral,India,0,,0,,0,,0.15,0.0
44,2025-05-12,Starter,51-200,SaaS,Organic,India,1,2025-05-20,0,,0,,0.508,0.0
45,2025-10-01,Starter,11-50,SaaS,Organic,North America,0,,0,,0,,0.304,0.0
46,2025-08-06,Starter,11-50,E-commerce,Organic,India,1,2025-08-07,0,,0,,0.177,0.0
47,2025-03-02,Starter,11-50,SaaS,Referral,India,1,2025-03-02,1,2025-03-29,0,,0.84,39.0
48,2025-11-08,Pro,11-50,SaaS,Organic,North America,1,2025-11-10,1,2025-11-25,0,,0.421,249.0
49,2025-08-22,Starter,1-10,E-commerce,Paid Search,Europe,1,2025-08-23,0,,0,,0.316,0.0
50,2025-07-29,Starter,11-50,SaaS,Partner,India,1,2025-07-30,0,,0,,0.7,0.0
51,2025-08-06,Starter,11-50,SaaS,Organic,India,1,2025-08-19,0,,0,,0.3,0.0
52,2025-10-10,Starter,11-50,SaaS,Organic,India,1,2025-10-17,0,,0,,0.604,0.0
53,2025-04-14,Starter,11-50,FinTech,Referral,India,1,2025-04-19,1,2025-05-03,0,,0.706,39.0
54,2025-09-27,Starter,1-10,FinTech,Outbound,North America,1,2025-10-10,1,2025-10-15,1,2026-03-05,0.25,39.0
55,2025-08-14,Starter,1-10,Services,Organic,India,1,2025-08-16,0,,0,,0.58,0.0
56,2025-02-06,Growth,1-10,SaaS,Outbound,Europe,1,2025-02-11,1,2025-03-08,0,,0.631,99.0
57,2025-06-15,Starter,11-50,HealthTech,Outbound,India,1,2025-06-20,0,,0,,0.611,0.0
58,2025-08-01,Starter,1-10,FinTech,Organic,North America,1,2025-08-04,0,,0,,0.264,0.0
59,2025-04-01,Growth,11-50,SaaS,Paid Search,India,1,2025-04-14,0,,0,,0.411,0.0
60,2025-07-27,Starter,51-200,SaaS,Referral,India,1,2025-07-31,1,2025-08-09,1,2025-11-09,0.508,46.8
61,2025-07-31,Starter,11-50,SaaS,Organic,India,1,2025-08-06,0,,0,,0.706,0.0
62,2025-03-09,Growth,11-50,SaaS,Organic,North America,1,2025-03-20,1,2025-03-23,0,,0.665,99.0
63,2025-11-01,Starter,1-10,Services,Organic,India,0,,0,,0,,0.521,0.0
64,2025-08-31,Starter,11-50,SaaS,Organic,India,0,,0,,0,,0.698,0.0
65,2025-08-11,Growth,11-50,E-commerce,Outbound,India,1,2025-08-12,1,2025-09-05,1,2026-04-08,0.356,99.0
66,2025-01-19,Starter,11-50,Services,Referral,India,1,2025-01-30,1,2025-02-16,0,,0.651,39.0
67,2025-11-23,Starter,11-50,SaaS,Paid Search,India,1,2025-11-27,0,,0,,0.473,0.0
68,2025-04-20,Starter,51-200,SaaS,Organic,India,1,2025-04-28,1,2025-05-13,0,,0.467,46.8
69,2025-11-27,Starter,11-50,Services,Referral,North America,1,2025-12-08,0,,0,,0.214,0.0
70,2025-10-08,Growth,1-10,FinTech,Outbound,India,1,2025-10-18,1,2025-10-31,1,2026-04-16,0.402,99.0
71,2025-05-20,Starter,11-50,SaaS,Organic,North America,1,2025-05-20,0,,0,,0.536,0.0
72,2025-08-28,Starter,1-10,E-commerce,Referral,India,1,2025-08-29,0,,0,,0.509,0.0
73,2025-12-05,Pro,11-50,Services,Partner,India,1,2025-12-07,1,2025-12-23,0,,0.83,249.0
74,2025-05-20,Starter,1-10,Services,Organic,North America,1,2025-05-20,1,2025-06-16,1,2025-09-05,0.138,39.0
75,2025-07-19,Growth,11-50,FinTech,Referral,India,1,2025-07-19,1,2025-08-17,0,,0.701,99.0
76,2025-03-27,Growth,11-50,Services,Paid Search,India,1,2025-04-03,0,,0,,0.443,0.0
77,2025-03-16,Growth,1-10,SaaS,Paid Search,India,1,2025-03-16,1,2025-04-08,1,2025-05-15,0.351,99.0
78,2025-03-11,Growth,11-50,E-commerce,Organic,India,1,2025-03-11,0,,0,,0.521,0.0
79,2025-10-28,Starter,1-10,Services,Referral,India,0,,0,,0,,0.257,0.0
80,2025-11-21,Starter,51-200,SaaS,Organic,India,1,2025-12-02,1,2025-12-15,0,,0.677,46.8
81,2025-03-25,Starter,11-50,E-commerce,Organic,India,1,2025-04-08,0,,0,,0.546,0.0
82,2025-04-26,Starter,11-50,FinTech,Organic,North America,1,2025-05-01,0,,0,,0.507,0.0
83,2025-10-02,Starter,1-10,FinTech,Partner,North America,1,2025-10-16,0,,0,,0.326,0.0
84,2025-03-10,Growth,11-50,Services,Organic,India,1,2025-03-19,1,2025-04-06,1,2025-10-23,0.112,99.0
85,2025-12-13,Starter,11-50,SaaS,Referral,India,1,2025-12-23,0,,0,,0.737,0.0
86,2025-06-27,Starter,51-200,FinTech,Organic,India,1,2025-06-30,1,2025-07-07,0,,0.594,46.8
87,2025-06-11,Starter,1-10,Services,Referral,India,1,2025-06-20,1,2025-06-29,1,2025-12-23,0.09,39.0
88,2025-08-02,Starter,11-50,SaaS,Referral,India,0,,0,,0,,0.512,0.0
89,2025-05-16,Starter,11-50,Services,Organic,India,1,2025-05-18,0,,0,,0.75,0.0
90,2025-05-27,Starter,51-200,SaaS,Referral,India,1,2025-06-08,0,,0,,0.453,0.0
91,2025-03-07,Growth,1-10,SaaS,Partner,North America,1,2025-03-15,1,2025-04-01,0,,0.906,99.0
92,2025-04-04,Growth,11-50,E-commerce,Referral,India,1,2025-04-14,1,2025-04-25,1,2025-09-21,0.11,99.0
93,2025-05-14,Starter,1-10,FinTech,Outbound,India,0,,0,,0,,0.685,0.0
94,2025-02-04,Starter,11-50,FinTech,Referral,Europe,1,2025-02-15,1,2025-02-25,1,2025-09-16,0.221,39.0
95,2025-08-31,Starter,1-10,SaaS,Paid Search,India,1,2025-09-13,0,,0,,0.612,0.0
96,2025-05-04,Growth,11-50,Services,Referral,India,0,,0,,0,,0.392,0.0
97,2025-08-22,Starter,11-50,SaaS,Partner,SEA,1,2025-08-31,1,2025-09-07,0,,0.682,39.0
98,2025-06-08,Growth,11-50,SaaS,Organic,India,1,2025-06-20,1,2025-07-06,0,,0.645,99.0
99,2025-01-29,Starter,11-50,FinTech,Referral,India,1,2025-01-30,0,,0,,0.718,0.0
100,2025-11-14,Starter,11-50,Services,Outbound,India,1,2025-11-17,0,,0,,0.357,0.0
