session_id,user_id,started_at,device,channel,visited_at,viewed_at,carted_at,checked_out_at,purchased_at
S00025,U06616,2026-03-15T20:58:45Z,Mobile,Social,2026-03-15T20:58:45Z,2026-03-15T20:59:19Z,2026-03-15T21:01:19Z,2026-03-15T21:03:14Z,2026-03-15T21:03:37Z
S00026,U06559,2026-03-24T03:34:59Z,Mobile,Social,2026-03-24T03:34:59Z,,,,
S00027,U03457,2026-02-01T06:58:32Z,Mobile,Paid Search,2026-02-01T06:58:32Z,2026-02-01T07:00:40Z,2026-02-01T07:01:09Z,2026-02-01T07:03:39Z,2026-02-01T07:06:35Z
S00028,U01363,2026-01-02T03:23:44Z,Desktop,Social,2026-01-02T03:23:44Z,2026-01-02T03:25:57Z,2026-01-02T03:27:49Z,,
S00029,U07591,2026-01-22T13:47:52Z,Mobile,Paid Search,2026-01-22T13:47:52Z,,,,
S00030,U06418,2026-02-28T10:23:08Z,Mobile,Email,2026-02-28T10:23:08Z,2026-02-28T10:25:22Z,2026-02-28T10:26:47Z,2026-02-28T10:27:11Z,
S00031,U04786,2026-03-11T02:13:09Z,Desktop,Organic,2026-03-11T02:13:09Z,2026-03-11T02:15:34Z,2026-03-11T02:17:54Z,2026-03-11T02:18:51Z,2026-03-11T02:19:18Z
S00032,U02017,2026-01-31T14:42:03Z,Mobile,Social,2026-01-31T14:42:03Z,2026-01-31T14:42:23Z,,,
S00033,U02137,2026-02-23T21:15:03Z,Mobile,Organic,2026-02-23T21:15:03Z,2026-02-23T21:16:33Z,2026-02-23T21:18:24Z,2026-02-23T21:21:19Z,2026-02-23T21:22:49Z
S00034,U00820,2026-01-10T00:20:20Z,Mobile,Email,2026-01-10T00:20:20Z,2026-01-10T00:21:24Z,,,
S00035,U03028,2026-01-17T12:42:25Z,Desktop,Social,2026-01-17T12:42:25Z,2026-01-17T12:44:27Z,,,
S00036,U04334,2026-02-08T22:16:13Z,Tablet,Social,2026-02-08T22:16:13Z,2026-02-08T22:18:44Z,,,
S00037,U00946,2026-03-26T03:46:17Z,Desktop,Organic,2026-03-26T03:46:17Z,,,,
S00038,U05879,2026-03-12T05:39:34Z,Mobile,Paid Search,2026-03-12T05:39:34Z,2026-03-12T05:42:26Z,,,
S00039,U00417,2026-03-06T17:47:12Z,Mobile,Email,2026-03-06T17:47:12Z,2026-03-06T17:49:10Z,,,
S00040,U02146,2026-01-06T00:07:44Z,Mobile,Organic,2026-01-06T00:07:44Z,2026-01-06T00:09:47Z,,,
S00041,U07235,2026-02-24T20:25:19Z,Mobile,Organic,2026-02-24T20:25:19Z,2026-02-24T20:26:07Z,,,
S00042,U00343,2026-02-17T21:12:30Z,Mobile,Paid Search,2026-02-17T21:12:30Z,2026-02-17T21:12:50Z,,,
S00043,U04587,2026-01-27T09:05:06Z,Desktop,Paid Search,2026-01-27T09:05:06Z,,,,
S00044,U01940,2026-02-22T22:35:51Z,Desktop,Email,2026-02-22T22:35:51Z,,,,
S00045,U02722,2026-01-23T15:00:40Z,Mobile,Social,2026-01-23T15:00:40Z,,,,
S00046,U00886,2026-02-22T09:02:07Z,Mobile,Social,2026-02-22T09:02:07Z,2026-02-22T09:02:26Z,,,
S00047,U02501,2026-01-29T07:15:58Z,Desktop,Paid Search,2026-01-29T07:15:58Z,,,,
S00048,U02690,2026-01-30T08:06:59Z,Mobile,Organic,2026-01-30T08:06:59Z,2026-01-30T08:07:26Z,,,
S00049,U06912,2026-02-05T12:47:05Z,Desktop,Paid Search,2026-02-05T12:47:05Z,2026-02-05T12:47:22Z,2026-02-05T12:48:38Z,2026-02-05T12:49:55Z,2026-02-05T12:52:37Z
S00050,U03156,2026-02-10T15:53:19Z,Desktop,Paid Search,2026-02-10T15:53:19Z,,,,
S00051,U04260,2026-01-25T09:16:26Z,Mobile,Paid Search,2026-01-25T09:16:26Z,,,,
S00052,U05442,2026-03-10T07:10:25Z,Mobile,Organic,2026-03-10T07:10:25Z,,,,
S00053,U07374,2026-03-21T11:25:45Z,Desktop,Organic,2026-03-21T11:25:45Z,2026-03-21T11:27:14Z,,,
S00054,U01572,2026-02-11T14:39:03Z,Desktop,Paid Search,2026-02-11T14:39:03Z,2026-02-11T14:40:50Z,,,
S00055,U06830,2026-01-23T22:24:36Z,Mobile,Paid Search,2026-01-23T22:24:36Z,2026-01-23T22:25:59Z,2026-01-23T22:28:37Z,2026-01-23T22:30:09Z,2026-01-23T22:32:12Z
S00056,U06029,2026-03-07T17:13:41Z,Desktop,Email,2026-03-07T17:13:41Z,2026-03-07T17:14:12Z,2026-03-07T17:17:11Z,2026-03-07T17:18:46Z,2026-03-07T17:19:56Z
S00057,U03893,2026-01-29T07:15:00Z,Mobile,Organic,2026-01-29T07:15:00Z,2026-01-29T07:15:28Z,,,
S00058,U04050,2026-03-22T20:57:34Z,Mobile,Social,2026-03-22T20:57:34Z,2026-03-22T20:58:21Z,,,
S00059,U06588,2026-01-01T03:52:50Z,Desktop,Organic,2026-01-01T03:52:50Z,,,,
S00060,U06950,2026-03-08T16:54:49Z,Mobile,Organic,2026-03-08T16:54:49Z,2026-03-08T16:55:33Z,,,
S00061,U07783,2026-03-27T19:20:16Z,Tablet,Paid Search,2026-03-27T19:20:16Z,,,,
S00062,U03496,2026-02-26T22:18:21Z,Desktop,Social,2026-02-26T22:18:21Z,,,,
S00063,U03889,2026-03-12T16:14:06Z,Desktop,Social,2026-03-12T16:14:06Z,2026-03-12T16:15:19Z,,,
S00064,U03604,2026-02-05T18:58:47Z,Mobile,Organic,2026-02-05T18:58:47Z,2026-02-05T19:00:10Z,2026-02-05T19:01:45Z,2026-02-05T19:04:13Z,2026-02-05T19:05:01Z
S00065,U03340,2026-03-30T05:33:48Z,Desktop,Organic,2026-03-30T05:33:48Z,2026-03-30T05:35:57Z,,,
S00066,U07751,2026-01-27T15:17:49Z,Mobile,Social,2026-01-27T15:17:49Z,2026-01-27T15:20:26Z,,,
S00067,U07305,2026-01-01T12:48:25Z,Mobile,Paid Search,2026-01-01T12:48:25Z,,,,
S00068,U04942,2026-02-23T19:35:45Z,Desktop,Paid Search,2026-02-23T19:35:45Z,,,,
S00069,U03186,2026-03-04T07:59:20Z,Mobile,Paid Search,2026-03-04T07:59:20Z,2026-03-04T08:01:13Z,,,
S00070,U07430,2026-03-01T04:38:48Z,Tablet,Paid Search,2026-03-01T04:38:48Z,2026-03-01T04:41:22Z,,,
S00071,U00412,2026-01-11T15:36:19Z,Mobile,Paid Search,2026-01-11T15:36:19Z,2026-01-11T15:37:52Z,2026-01-11T15:39:25Z,2026-01-11T15:41:12Z,2026-01-11T15:43:09Z
S00072,U07799,2026-01-11T17:07:24Z,Mobile,Paid Search,2026-01-11T17:07:24Z,2026-01-11T17:10:20Z,2026-01-11T17:13:16Z,2026-01-11T17:13:33Z,
S00073,U03880,2026-01-26T00:44:31Z,Desktop,Organic,2026-01-26T00:44:31Z,2026-01-26T00:47:05Z,,,
S00074,U04975,2026-03-01T09:19:46Z,Desktop,Organic,2026-03-01T09:19:46Z,,,,
S00075,U00211,2026-01-15T05:57:45Z,Tablet,Organic,2026-01-15T05:57:45Z,,,,
S00076,U00623,2026-03-15T13:39:52Z,Mobile,Social,2026-03-15T13:39:52Z,2026-03-15T13:42:42Z,2026-03-15T13:44:09Z,,
S00077,U00337,2026-03-18T04:24:26Z,Desktop,Paid Search,2026-03-18T04:24:26Z,2026-03-18T04:26:25Z,,,
S00078,U03442,2026-01-09T18:25:17Z,Desktop,Organic,2026-01-09T18:25:17Z,,,,
S00079,U06789,2026-01-14T15:47:02Z,Tablet,Paid Search,2026-01-14T15:47:02Z,2026-01-14T15:47:51Z,,,
S00080,U06346,2026-03-08T09:50:00Z,Desktop,Email,2026-03-08T09:50:00Z,2026-03-08T09:52:01Z,,,
S00081,U07657,2026-03-17T09:46:19Z,Mobile,Organic,2026-03-17T09:46:19Z,2026-03-17T09:48:24Z,2026-03-17T09:50:32Z,2026-03-17T09:52:19Z,2026-03-17T09:54:35Z
S00082,U02789,2026-01-24T17:45:04Z,Mobile,Social,2026-01-24T17:45:04Z,2026-01-24T17:47:46Z,,,
S00083,U00702,2026-02-05T20:14:08Z,Mobile,Email,2026-02-05T20:14:08Z,2026-02-05T20:16:02Z,,,
S00084,U06496,2026-01-31T17:20:02Z,Desktop,Paid Search,2026-01-31T17:20:02Z,2026-01-31T17:21:27Z,2026-01-31T17:22:39Z,2026-01-31T17:25:17Z,2026-01-31T17:27:48Z
S00085,U02220,2026-02-24T20:02:20Z,Mobile,Social,2026-02-24T20:02:20Z,2026-02-24T20:03:29Z,2026-02-24T20:04:28Z,2026-02-24T20:06:55Z,
S00086,U02266,2026-03-30T06:44:27Z,Mobile,Social,2026-03-30T06:44:27Z,,,,
S00087,U01591,2026-03-09T21:43:42Z,Mobile,Organic,2026-03-09T21:43:42Z,2026-03-09T21:45:24Z,2026-03-09T21:45:37Z,,
S00088,U02394,2026-01-17T09:59:14Z,Mobile,Organic,2026-01-17T09:59:14Z,2026-01-17T09:59:56Z,,,
S00089,U03846,2026-03-04T03:44:06Z,Desktop,Paid Search,2026-03-04T03:44:06Z,2026-03-04T03:45:43Z,2026-03-04T03:46:06Z,2026-03-04T03:48:18Z,2026-03-04T03:48:44Z
S00090,U01223,2026-01-10T21:00:31Z,Desktop,Organic,2026-01-10T21:00:31Z,,,,
S00091,U06263,2026-02-08T03:06:04Z,Tablet,Organic,2026-02-08T03:06:04Z,2026-02-08T03:08:46Z,,,
S00092,U02436,2026-01-29T19:01:34Z,Mobile,Email,2026-01-29T19:01:34Z,,,,
S00093,U07866,2026-02-24T11:07:06Z,Mobile,Organic,2026-02-24T11:07:06Z,,,,
S00094,U01287,2026-01-27T22:46:27Z,Mobile,Social,2026-01-27T22:46:27Z,2026-01-27T22:48:58Z,2026-01-27T22:49:08Z,2026-01-27T22:51:50Z,2026-01-27T22:52:08Z
S00095,U02168,2026-02-06T16:31:50Z,Mobile,Organic,2026-02-06T16:31:50Z,,,,
S00096,U03483,2026-03-22T21:28:24Z,Desktop,Email,2026-03-22T21:28:24Z,2026-03-22T21:29:31Z,,,
S00097,U02520,2026-02-04T05:10:43Z,Mobile,Organic,2026-02-04T05:10:43Z,2026-02-04T05:13:18Z,,,
S00098,U03298,2026-02-26T04:31:39Z,Mobile,Organic,2026-02-26T04:31:39Z,,,,
S00099,U00327,2026-03-06T19:39:36Z,Mobile,Organic,2026-03-06T19:39:36Z,,,,
S00100,U07880,2026-02-11T21:58:49Z,Mobile,Organic,2026-02-11T21:58:49Z,2026-02-11T22:01:26Z,,,
S00101,U01436,2026-01-03T09:48:45Z,Mobile,Social,2026-01-03T09:48:45Z,2026-01-03T09:51:41Z,,,
S00102,U06671,2026-02-05T06:36:28Z,Tablet,Paid Search,2026-02-05T06:36:28Z,2026-02-05T06:37:01Z,,,
S00103,U01318,2026-02-22T12:08:07Z,Mobile,Organic,2026-02-22T12:08:07Z,2026-02-22T12:10:23Z,2026-02-22T12:12:15Z,,
S00104,U02649,2026-03-12T01:20:09Z,Mobile,Organic,2026-03-12T01:20:09Z,2026-03-12T01:22:02Z,,,
S00105,U04248,2026-01-01T19:45:18Z,Mobile,Organic,2026-01-01T19:45:18Z,2026-01-01T19:47:35Z,,,
S00106,U02360,2026-01-07T07:24:40Z,Mobile,Organic,2026-01-07T07:24:40Z,2026-01-07T07:26:54Z,2026-01-07T07:29:45Z,2026-01-07T07:30:56Z,
S00107,U01841,2026-02-09T20:03:19Z,Mobile,Paid Search,2026-02-09T20:03:19Z,,,,
S00108,U01262,2026-01-15T16:48:02Z,Desktop,Paid Search,2026-01-15T16:48:02Z,2026-01-15T16:49:26Z,,,
S00109,U01997,2026-02-04T15:07:39Z,Desktop,Email,2026-02-04T15:07:39Z,2026-02-04T15:08:26Z,2026-02-04T15:11:09Z,2026-02-04T15:11:53Z,
S00110,U02189,2026-02-05T15:06:27Z,Mobile,Social,2026-02-05T15:06:27Z,,,,
S00111,U05407,2026-02-06T10:52:12Z,Desktop,Paid Search,2026-02-06T10:52:12Z,2026-02-06T10:53:00Z,,,
S00112,U03091,2026-03-03T12:33:56Z,Mobile,Social,2026-03-03T12:33:56Z,2026-03-03T12:35:28Z,,,
S00113,U06354,2026-03-31T08:41:40Z,Mobile,Organic,2026-03-31T08:41:40Z,2026-03-31T08:43:11Z,,,
S00114,U05342,2026-02-18T14:03:24Z,Tablet,Social,2026-02-18T14:03:24Z,,,,
S00115,U02720,2026-03-05T01:20:52Z,Mobile,Email,2026-03-05T01:20:52Z,,,,
S00116,U05919,2026-02-26T03:37:49Z,Mobile,Paid Search,2026-02-26T03:37:49Z,2026-02-26T03:40:46Z,,,
S00117,U05106,2026-01-10T17:05:37Z,Desktop,Organic,2026-01-10T17:05:37Z,2026-01-10T17:08:33Z,2026-01-10T17:10:07Z,,
S00118,U07270,2026-03-10T13:50:08Z,Tablet,Paid Search,2026-03-10T13:50:08Z,,,,
S00119,U05607,2026-03-11T01:18:25Z,Desktop,Organic,2026-03-11T01:18:25Z,,,,
S00120,U05192,2026-01-30T03:17:26Z,Mobile,Organic,2026-01-30T03:17:26Z,2026-01-30T03:18:01Z,,,
S00121,U06523,2026-03-30T10:54:11Z,Desktop,Organic,2026-03-30T10:54:11Z,2026-03-30T10:55:52Z,,,
S00122,U06493,2026-01-19T08:53:27Z,Mobile,Paid Search,2026-01-19T08:53:27Z,2026-01-19T08:54:21Z,2026-01-19T08:56:08Z,2026-01-19T08:57:19Z,
S00123,U03765,2026-03-16T05:12:38Z,Mobile,Paid Search,2026-03-16T05:12:38Z,2026-03-16T05:12:50Z,,,
S00124,U03619,2026-03-01T10:28:20Z,Desktop,Organic,2026-03-01T10:28:20Z,,,,
S00125,U02049,2026-03-17T10:53:30Z,Desktop,Paid Search,2026-03-17T10:53:30Z,2026-03-17T10:54:57Z,2026-03-17T10:56:45Z,,
S00126,U02424,2026-01-14T08:38:11Z,Mobile,Paid Search,2026-01-14T08:38:11Z,,,,
S00127,U02249,2026-02-07T00:47:55Z,Tablet,Social,2026-02-07T00:47:55Z,2026-02-07T00:48:17Z,,,
S00128,U06570,2026-03-05T10:25:12Z,Desktop,Organic,2026-03-05T10:25:12Z,2026-03-05T10:28:04Z,2026-03-05T10:29:18Z,2026-03-05T10:32:16Z,2026-03-05T10:33:01Z
S00129,U04748,2026-03-22T01:26:07Z,Mobile,Paid Search,2026-03-22T01:26:07Z,2026-03-22T01:26:50Z,2026-03-22T01:28:15Z,2026-03-22T01:30:11Z,2026-03-22T01:30:54Z
S00130,U01348,2026-02-16T19:19:39Z,Mobile,Organic,2026-02-16T19:19:39Z,2026-02-16T19:21:52Z,,,
S00131,U00617,2026-02-07T12:19:56Z,Desktop,Paid Search,2026-02-07T12:19:56Z,2026-02-07T12:21:03Z,,,
S00132,U02997,2026-03-28T14:28:09Z,Tablet,Social,2026-03-28T14:28:09Z,2026-03-28T14:30:00Z,2026-03-28T14:32:27Z,2026-03-28T14:34:11Z,2026-03-28T14:35:28Z
S00133,U00206,2026-03-23T13:31:29Z,Mobile,Organic,2026-03-23T13:31:29Z,2026-03-23T13:34:02Z,2026-03-23T13:36:48Z,2026-03-23T13:37:14Z,
S00134,U00372,2026-03-01T11:00:08Z,Desktop,Organic,2026-03-01T11:00:08Z,,,,
S00135,U04404,2026-02-08T17:56:09Z,Mobile,Organic,2026-02-08T17:56:09Z,2026-02-08T17:58:15Z,,,
S00136,U01266,2026-03-31T19:40:04Z,Mobile,Social,2026-03-31T19:40:04Z,,,,
S00137,U07693,2026-03-25T03:36:18Z,Desktop,Paid Search,2026-03-25T03:36:18Z,,,,
S00138,U01935,2026-01-05T13:29:26Z,Mobile,Paid Search,2026-01-05T13:29:26Z,,,,
S00139,U02939,2026-01-13T13:22:27Z,Mobile,Email,2026-01-13T13:22:27Z,2026-01-13T13:23:47Z,2026-01-13T13:24:28Z,,
S00140,U04892,2026-02-28T03:20:15Z,Desktop,Paid Search,2026-02-28T03:20:15Z,,,,
S00141,U04626,2026-01-07T12:08:33Z,Mobile,Organic,2026-01-07T12:08:33Z,2026-01-07T12:11:04Z,2026-01-07T12:12:09Z,,
S00142,U04883,2026-01-30T11:57:44Z,Desktop,Social,2026-01-30T11:57:44Z,2026-01-30T11:58:31Z,,,
S00143,U07098,2026-03-11T09:07:33Z,Desktop,Organic,2026-03-11T09:07:33Z,2026-03-11T09:07:46Z,,,
S00144,U00430,2026-01-31T21:26:22Z,Mobile,Organic,2026-01-31T21:26:22Z,2026-01-31T21:28:19Z,,,
S00145,U04864,2026-01-09T17:20:22Z,Mobile,Paid Search,2026-01-09T17:20:22Z,2026-01-09T17:22:40Z,2026-01-09T17:25:27Z,2026-01-09T17:28:25Z,
S00146,U03291,2026-02-28T01:08:02Z,Mobile,Paid Search,2026-02-28T01:08:02Z,2026-02-28T01:08:39Z,,,
S00147,U01216,2026-02-26T02:40:32Z,Desktop,Organic,2026-02-26T02:40:32Z,2026-02-26T02:41:52Z,,,
S00148,U04894,2026-03-16T19:57:54Z,Desktop,Paid Search,2026-03-16T19:57:54Z,2026-03-16T20:00:00Z,,,
S00149,U05364,2026-02-25T03:36:39Z,Desktop,Organic,2026-02-25T03:36:39Z,2026-02-25T03:39:10Z,,,
S00150,U02777,2026-01-28T15:39:30Z,Mobile,Organic,2026-01-28T15:39:30Z,,,,
S00151,U02561,2026-02-21T15:08:44Z,Desktop,Organic,2026-02-21T15:08:44Z,2026-02-21T15:10:29Z,,,
S00152,U00764,2026-03-29T17:16:03Z,Mobile,Social,2026-03-29T17:16:03Z,2026-03-29T17:17:48Z,,,
S00153,U02701,2026-03-13T02:11:01Z,Mobile,Paid Search,2026-03-13T02:11:01Z,2026-03-13T02:12:56Z,,,
S00154,U07934,2026-03-27T15:23:55Z,Desktop,Social,2026-03-27T15:23:55Z,2026-03-27T15:25:24Z,,,
S00155,U01838,2026-03-15T18:28:27Z,Mobile,Social,2026-03-15T18:28:27Z,,,,
S00156,U04704,2026-02-14T20:15:10Z,Mobile,Social,2026-02-14T20:15:10Z,2026-02-14T20:17:09Z,,,
S00157,U04989,2026-03-21T22:20:22Z,Desktop,Paid Search,2026-03-21T22:20:22Z,,,,
S00158,U06246,2026-03-30T09:44:14Z,Mobile,Organic,2026-03-30T09:44:14Z,2026-03-30T09:45:50Z,,,
S00159,U01163,2026-01-24T05:12:56Z,Mobile,Paid Search,2026-01-24T05:12:56Z,,,,
S00160,U03440,2026-01-04T03:20:26Z,Desktop,Organic,2026-01-04T03:20:26Z,2026-01-04T03:21:16Z,,,
S00161,U01275,2026-02-11T20:39:55Z,Mobile,Social,2026-02-11T20:39:55Z,2026-02-11T20:42:43Z,2026-02-11T20:43:13Z,2026-02-11T20:46:12Z,2026-02-11T20:48:57Z
S00162,U03522,2026-02-04T07:50:55Z,Desktop,Organic,2026-02-04T07:50:55Z,2026-02-04T07:53:36Z,,,
S00163,U04910,2026-03-27T11:13:45Z,Mobile,Paid Search,2026-03-27T11:13:45Z,2026-03-27T11:14:47Z,2026-03-27T11:15:51Z,,
S00164,U06120,2026-02-02T10:32:18Z,Mobile,Organic,2026-02-02T10:32:18Z,2026-02-02T10:33:01Z,,,
S00165,U02902,2026-01-30T18:12:50Z,Mobile,Social,2026-01-30T18:12:50Z,2026-01-30T18:13:10Z,,,
S00166,U04698,2026-02-28T02:50:05Z,Desktop,Paid Search,2026-02-28T02:50:05Z,2026-02-28T02:52:58Z,,,
S00167,U06565,2026-01-15T14:44:48Z,Mobile,Organic,2026-01-15T14:44:48Z,,,,
S00168,U01994,2026-02-28T13:10:28Z,Mobile,Social,2026-02-28T13:10:28Z,2026-02-28T13:12:20Z,,,
S00169,U06383,2026-02-20T11:17:48Z,Desktop,Organic,2026-02-20T11:17:48Z,2026-02-20T11:20:08Z,,,
S00170,U02877,2026-03-09T18:34:00Z,Mobile,Social,2026-03-09T18:34:00Z,,,,
S00171,U01617,2026-03-24T05:22:38Z,Mobile,Organic,2026-03-24T05:22:38Z,2026-03-24T05:23:27Z,,,
S00172,U04048,2026-03-25T02:44:36Z,Mobile,Social,2026-03-25T02:44:36Z,2026-03-25T02:47:10Z,,,
S00173,U02648,2026-02-27T20:33:09Z,Desktop,Email,2026-02-27T20:33:09Z,,,,
S00174,U03623,2026-03-22T11:30:36Z,Mobile,Organic,2026-03-22T11:30:36Z,2026-03-22T11:31:56Z,,,
S00175,U00309,2026-02-15T18:28:17Z,Mobile,Paid Search,2026-02-15T18:28:17Z,2026-02-15T18:29:40Z,2026-02-15T18:30:13Z,2026-02-15T18:32:32Z,2026-02-15T18:35:10Z
S00176,U01543,2026-01-06T16:22:27Z,Desktop,Paid Search,2026-01-06T16:22:27Z,2026-01-06T16:24:38Z,,,
S00177,U02814,2026-01-08T16:24:10Z,Mobile,Social,2026-01-08T16:24:10Z,,,,
S00178,U05797,2026-01-11T18:22:12Z,Desktop,Organic,2026-01-11T18:22:12Z,2026-01-11T18:24:14Z,,,
S00179,U03174,2026-03-20T05:46:47Z,Mobile,Email,2026-03-20T05:46:47Z,2026-03-20T05:48:23Z,,,
S00180,U00775,2026-01-07T22:58:11Z,Desktop,Organic,2026-01-07T22:58:11Z,2026-01-07T22:59:59Z,2026-01-07T23:02:57Z,,
S00181,U01159,2026-03-19T05:28:29Z,Mobile,Paid Search,2026-03-19T05:28:29Z,,,,
S00182,U00695,2026-02-09T14:16:14Z,Mobile,Social,2026-02-09T14:16:14Z,2026-02-09T14:18:00Z,,,
S00183,U06053,2026-02-12T04:39:10Z,Desktop,Social,2026-02-12T04:39:10Z,,,,
S00184,U02965,2026-03-09T03:24:09Z,Desktop,Paid Search,2026-03-09T03:24:09Z,2026-03-09T03:25:38Z,2026-03-09T03:26:42Z,2026-03-09T03:28:56Z,2026-03-09T03:29:41Z
S00185,U06051,2026-02-07T03:40:56Z,Mobile,Paid Search,2026-02-07T03:40:56Z,,,,
S00186,U04893,2026-01-05T12:15:40Z,Desktop,Paid Search,2026-01-05T12:15:40Z,2026-01-05T12:16:31Z,2026-01-05T12:19:20Z,,
S00187,U05895,2026-01-22T15:56:06Z,Mobile,Paid Search,2026-01-22T15:56:06Z,2026-01-22T15:58:09Z,,,
S00188,U06625,2026-02-27T08:31:11Z,Mobile,Organic,2026-02-27T08:31:11Z,,,,
S00189,U03610,2026-01-25T13:23:33Z,Desktop,Paid Search,2026-01-25T13:23:33Z,2026-01-25T13:24:55Z,,,
S00190,U01636,2026-03-06T19:12:15Z,Mobile,Organic,2026-03-06T19:12:15Z,,,,
S00191,U03041,2026-01-18T09:06:08Z,Mobile,Paid Search,2026-01-18T09:06:08Z,2026-01-18T09:06:44Z,,,
S00192,U02235,2026-03-08T04:32:21Z,Mobile,Social,2026-03-08T04:32:21Z,2026-03-08T04:34:42Z,2026-03-08T04:36:43Z,2026-03-08T04:37:49Z,
S00193,U03064,2026-02-14T00:58:15Z,Mobile,Paid Search,2026-02-14T00:58:15Z,2026-02-14T00:58:45Z,,,
S00194,U05325,2026-01-04T11:36:10Z,Desktop,Social,2026-01-04T11:36:10Z,2026-01-04T11:36:57Z,2026-01-04T11:38:20Z,,
S00195,U05041,2026-03-02T05:03:11Z,Desktop,Paid Search,2026-03-02T05:03:11Z,2026-03-02T05:03:41Z,2026-03-02T05:04:46Z,,
S00196,U02361,2026-03-12T22:10:07Z,Mobile,Organic,2026-03-12T22:10:07Z,2026-03-12T22:10:48Z,2026-03-12T22:12:45Z,2026-03-12T22:15:34Z,2026-03-12T22:16:12Z
S00197,U04711,2026-03-05T21:43:35Z,Mobile,Paid Search,2026-03-05T21:43:35Z,2026-03-05T21:44:21Z,2026-03-05T21:44:31Z,2026-03-05T21:45:42Z,
S00198,U07811,2026-01-24T03:07:01Z,Mobile,Paid Search,2026-01-24T03:07:01Z,2026-01-24T03:09:20Z,,,
S00199,U00357,2026-03-06T20:10:33Z,Mobile,Social,2026-03-06T20:10:33Z,2026-03-06T20:12:18Z,2026-03-06T20:12:32Z,2026-03-06T20:12:59Z,2026-03-06T20:15:57Z
S00200,U02774,2026-03-16T12:06:23Z,Mobile,Paid Search,2026-03-16T12:06:23Z,,,,
S00201,U01494,2026-01-23T16:54:59Z,Tablet,Paid Search,2026-01-23T16:54:59Z,,,,
